Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
117-8559;HC 20 500Х2000;500;2000;104;2877;43,96;10,62
117-8560;HC 20 500Х2100;500;2100;104;3020;46,12;11,15
117-8561;HC 20 500Х2200;500;2200;104;3164;48,27;11,68
117-8562;HC 20 500Х2300;500;2300;104;3308;50,43;12,21
117-8563;HC 20 500Х2400;500;2400;104;3452;52,63;12,74
117-8564;HC 20 500Х2500;500;2500;104;3596;54,79;13,28
117-8565;HC 20 500Х2600;500;2600;104;3740;56,94;13,81
117-8566;HC 20 500Х2700;500;2700;104;3883;59,10;14,34
117-8567;HC 20 500Х2800;500;2800;104;4027;61,25;14,87
117-8568;HC 20 500Х2900;500;2900;104;4171;63,41;15,40
117-8569;HC 20 500Х3000;500;3000;104;4315;65,56;15,93
117-8570;HC 20 600Х400;600;400;104;663;11,00;2,40
117-8571;HC 20 600Х500;600;500;104;829;13,58;3,00
117-8572;HC 20 600Х600;600;600;104;995;16,16;3,60
117-8573;HC 20 600Х700;600;700;104;1161;18,74;4,20
117-8574;HC 20 600Х800;600;800;104;1327;21,32;4,80
117-8575;HC 20 600Х900;600;900;104;1493;23,96;5,40
117-8576;HC 20 600Х1000;600;1000;104;1658;26,54;6,00
117-8577;HC 20 600Х1100;600;1100;104;1824;29,12;6,60
117-8578;HC 20 600Х1200;600;1200;104;1990;31,70;7,20
117-8579;HC 20 600Х1300;600;1300;104;2156;34,29;7,80
117-8580;HC 20 600Х1400;600;1400;104;2322;36,92;8,40
117-8581;HC 20 600Х1500;600;1500;104;2488;39,50;9,00
117-8582;HC 20 600Х1600;600;1600;104;2654;42,08;9,60
117-8583;HC 20 600Х1700;600;1700;104;2819;44,72;10,20
117-8584;HC 20 600Х1800;600;1800;104;2985;47,30;10,80
117-8585;HC 20 600Х1900;600;1900;104;3151;49,93;11,40
117-8586;HC 20 600Х2000;600;2000;104;3317;52,51;12,00
117-8587;HC 20 600Х2100;600;2100;104;3483;55,10;12,60
117-8588;HC 20 600Х2200;600;2200;104;3649;57,68;13,20
117-8589;HC 20 600Х2300;600;2300;104;3814;60,26;13,80
117-8590;HC 20 600Х2400;600;2400;104;3980;62,89;14,40
117-8591;HC 20 600Х2500;600;2500;104;4146;65,48;15,00
117-8592;HC 20 600Х2600;600;2600;104;4312;68,06;15,60
117-8593;HC 20 600Х2700;600;2700;104;4478;70,64;16,20
117-8594;HC 20 600Х2800;600;2800;104;4644;73,22;16,80
117-8595;HC 20 600Х2900;600;2900;104;4810;75,80;17,40
117-8596;HC 20 600Х3000;600;3000;104;4975;78,39;18,00
117-8597;HC 20 900Х400;900;400;104;913;16,13;3,84
117-8598;HC 20 900Х500;900;500;104;1141;19,99;4,80
117-8599;HC 20 900Х600;900;600;104;1369;23,85;5,76
117-8600;HC 20 900Х700;900;700;104;1597;27,72;6,72
117-8601;HC 20 900Х800;900;800;104;1825;31,58;7,68
117-8602;HC 20 900Х900;900;900;104;2053;35,50;8,64
117-8603;HC 20 900Х1000;900;1000;104;2282;39,37;9,60
117-8604;HC 20 900Х1100;900;1100;104;2510;43,23;10,56
117-8605;HC 20 900Х1200;900;1200;104;2738;47,09;11,52
117-8606;HC 20 900Х1300;900;1300;104;2966;50,96;12,48
117-8607;HC 20 900Х1400;900;1400;104;3194;54,88;13,44
117-8608;HC 20 900Х1500;900;1500;104;3422;58,74;14,40
117-8609;HC 20 900Х1600;900;1600;104;3651;62,60;15,36
117-8610;HC 20 900Х1700;900;1700;104;3879;66,52;16,32
117-8611;HC 20 900Х1800;900;1800;104;4107;70,38;17,28
117-8612;HC 20 900Х1900;900;1900;104;4335;74,30;18,24
117-8613;HC 20 900Х2000;900;2000;104;4563;78,17;19,20
117-8614;HC 20 900Х2100;900;2100;104;4791;82,03;20,16
117-8615;HC 20 900Х2200;900;2200;104;5020;85,89;21,12
117-8616;HC 20 900Х2300;900;2300;104;5248;89,76;22,08
117-8617;HC 20 900Х2400;900;2400;104;5476;93,68;23,04
117-8618;HC 20 900Х2500;900;2500;104;5704;97,54;24,00
117-8619;HC 20 900Х2600;900;2600;104;5932;101,40;24,96
117-8620;HC 20 900Х2700;900;2700;104;6160;105,27;25,92
117-8621;HC 20 900Х2800;900;2800;104;6389;109,13;26,88
117-8622;HC 20 900Х2900;900;2900;104;6617;113,00;27,84
117-8623;HC 20 900Х3000;900;3000;104;6845;116,86;28,80
