Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
117-8489;HC 20 300Х400;300;400;104;382;5,87;1,41
117-8490;HC 20 300Х500;300;500;104;478;7,17;1,77
117-8491;HC 20 300Х600;300;600;104;574;8,46;2,12
117-8492;HC 20 300Х700;300;700;104;669;9,76;2,47
117-8493;HC 20 300Х800;300;800;104;765;11,06;2,82
117-8494;HC 20 300Х900;300;900;104;860;12,42;3,18
117-8495;HC 20 300Х1000;300;1000;104;956;13,71;3,53
117-8496;HC 20 300Х1100;300;1100;104;1051;15,01;3,88
117-8497;HC 20 300Х1200;300;1200;104;1147;16,31;4,24
117-8498;HC 20 300Х1300;300;1300;104;1243;17,61;4,59
117-8499;HC 20 300Х1400;300;1400;104;1338;18,97;4,94
117-8500;HC 20 300Х1500;300;1500;104;1434;20,26;5,30
117-8501;HC 20 300Х1600;300;1600;104;1529;21,56;5,65
117-8502;HC 20 300Х1700;300;1700;104;1625;22,91;6,00
117-8503;HC 20 300Х1800;300;1800;104;1721;24,21;6,35
117-8504;HC 20 300Х1900;300;1900;104;1816;25,56;6,71
117-8505;HC 20 300Х2000;300;2000;104;1912;26,86;7,06
117-8506;HC 20 300Х2100;300;2100;104;2007;28,16;7,41
117-8507;HC 20 300Х2200;300;2200;104;2103;29,46;7,77
117-8508;HC 20 300Х2300;300;2300;104;2198;30,76;8,12
117-8509;HC 20 300Х2400;300;2400;104;2294;32,11;8,47
117-8510;HC 20 300Х2500;300;2500;104;2390;33,41;8,83
117-8511;HC 20 300Х2600;300;2600;104;2485;34,71;9,18
117-8512;HC 20 300Х2700;300;2700;104;2581;36,01;9,53
117-8513;HC 20 300Х2800;300;2800;104;2676;37,31;9,88
117-8514;HC 20 300Х2900;300;2900;104;2772;38,61;10,24
117-8515;HC 20 300Х3000;300;3000;104;2868;39,91;10,59
117-8516;HC 20 400Х400;400;400;104;482;7,58;1,69
117-8517;HC 20 400Х500;400;500;104;602;9,30;2,12
117-8518;HC 20 400Х600;400;600;104;722;11,03;2,54
117-8519;HC 20 400Х700;400;700;104;843;12,76;2,96
117-8520;HC 20 400Х800;400;800;104;963;14,48;3,38
117-8521;HC 20 400Х900;400;900;104;1084;16,26;3,81
117-8522;HC 20 400Х1000;400;1000;104;1204;17,99;4,23
117-8523;HC 20 400Х1100;400;1100;104;1324;19,72;4,65
117-8524;HC 20 400Х1200;400;1200;104;1445;21,44;5,08
117-8525;HC 20 400Х1300;400;1300;104;1565;23,17;5,50
117-8526;HC 20 400Х1400;400;1400;104;1686;24,95;5,92
117-8527;HC 20 400Х1500;400;1500;104;1806;26,68;6,35
117-8528;HC 20 400Х1600;400;1600;104;1927;28,40;6,77
117-8529;HC 20 400Х1700;400;1700;104;2047;30,18;7,19
117-8530;HC 20 400Х1800;400;1800;104;2167;31,91;7,61
117-8531;HC 20 400Х1900;400;1900;104;2288;33,69;8,04
117-8532;HC 20 400Х2000;400;2000;104;2408;35,41;8,46
117-8533;HC 20 400Х2100;400;2100;104;2529;37,14;8,88
117-8534;HC 20 400Х2200;400;2200;104;2649;38,87;9,31
117-8535;HC 20 400Х2300;400;2300;104;2769;40,59;9,73
117-8536;HC 20 400Х2400;400;2400;104;2890;42,37;10,15
117-8537;HC 20 400Х2500;400;2500;104;3010;44,10;10,58
117-8538;HC 20 400Х2600;400;2600;104;3131;45,83;11,00
117-8539;HC 20 400Х2700;400;2700;104;3251;47,55;11,42
117-8540;HC 20 400Х2800;400;2800;104;3371;49,28;11,84
117-8541;HC 20 400Х2900;400;2900;104;3492;51,01;12,27
117-8542;HC 20 400Х3000;400;3000;104;3612;52,74;12,69
117-8543;HC 20 500Х400;500;400;104;575;9,29;2,12
117-8544;HC 20 500Х500;500;500;104;719;11,44;2,66
117-8545;HC 20 500Х600;500;600;104;863;13,60;3,19
117-8546;HC 20 500Х700;500;700;104;1007;15,75;3,72
117-8547;HC 20 500Х800;500;800;104;1151;17,90;4,25
117-8548;HC 20 500Х900;500;900;104;1294;20,11;4,78
117-8549;HC 20 500Х1000;500;1000;104;1438;22,26;5,31
117-8550;HC 20 500Х1100;500;1100;104;1582;24,42;5,84
117-8551;HC 20 500Х1200;500;1200;104;1726;26,57;6,37
117-8552;HC 20 500Х1300;500;1300;104;1870;28,73;6,90
117-8553;HC 20 500Х1400;500;1400;104;2014;30,93;7,43
117-8554;HC 20 500Х1500;500;1500;104;2157;33,09;7,97
117-8555;HC 20 500Х1600;500;1600;104;2301;35,24;8,50
117-8556;HC 20 500Х1700;500;1700;104;2445;37,45;9,03
117-8557;HC 20 500Х1800;500;1800;104;2589;39,60;9,56
117-8558;HC 20 500Х1900;500;1900;104;2733;41,81;10,09
