Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
118-0575;HC 30 500Х1100;500;1100;160;2192;36,88;8,69
118-0576;HC 30 500Х1200;500;1200;160;2391;40,12;9,48
118-0577;HC 30 500Х1300;500;1300;160;2591;43,35;10,27
118-0578;HC 30 500Х1400;500;1400;160;2790;46,72;11,06
118-0579;HC 30 500Х1500;500;1500;160;2989;49,95;11,85
118-0580;HC 30 500Х1600;500;1600;160;3188;53,18;12,64
118-0581;HC 30 500Х1700;500;1700;160;3388;56,46;13,43
118-0582;HC 30 500Х1800;500;1800;160;3587;59,70;14,22
118-0583;HC 30 500Х1900;500;1900;160;3786;63,06;15,01
118-0584;HC 30 500Х2000;500;2000;160;3986;66,30;15,80
120-1113;HC 30 500Х2100;500;2100;160;4185;69,53;16,59
118-0523;HC 30 500Х2200;500;2200;160;4384;72,76;17,38
120-1114;HC 30 500Х2300;500;2300;160;4583;76,00;18,17
118-0524;HC 30 500Х2400;500;2400;160;4783;79,36;18,96
120-1115;HC 30 500Х2500;500;2500;160;4982;82,60;19,75
118-0525;HC 30 500Х2600;500;2600;160;5181;85,83;20,54
120-1116;HC 30 500Х2700;500;2700;160;5381;89,06;21,33
118-0526;HC 30 500Х2800;500;2800;160;5580;92,29;22,12
120-1117;HC 30 500Х2900;500;2900;160;5779;95,53;22,91
118-0527;HC 30 500Х3000;500;3000;160;5978;98,76;23,70
118-0585;HC 30 600Х400;600;400;160;921;16,69;3,66
118-0586;HC 30 600Х500;600;500;160;1151;20,56;4,58
118-0587;HC 30 600Х600;600;600;160;1381;24,43;5,49
118-0588;HC 30 600Х700;600;700;160;1611;28,31;6,41
118-0589;HC 30 600Х800;600;800;160;1842;32,18;7,32
118-0590;HC 30 600Х900;600;900;160;2072;36,19;8,24
118-0591;HC 30 600Х1000;600;1000;160;2302;40,07;9,15
118-0592;HC 30 600Х1100;600;1100;160;2532;43,94;10,07
118-0593;HC 30 600Х1200;600;1200;160;2762;47,82;10,98
118-0594;HC 30 600Х1300;600;1300;160;2993;51,69;11,90
118-0595;HC 30 600Х1400;600;1400;160;3223;55,70;12,81
118-0596;HC 30 600Х1500;600;1500;160;3453;59,57;13,73
118-0597;HC 30 600Х1600;600;1600;160;3683;63,45;14,64
118-0598;HC 30 600Х1700;600;1700;160;3913;67,37;15,56
118-0599;HC 30 600Х1800;600;1800;160;4144;71,24;16,47
118-0600;HC 30 600Х1900;600;1900;160;4374;75,25;17,39
118-0601;HC 30 600Х2000;600;2000;160;4604;79,13;18,30
120-1098;HC 30 600Х2100;600;2100;160;4834;83,00;19,22
118-0528;HC 30 600Х2200;600;2200;160;5064;86,88;20,13
120-1099;HC 30 600Х2300;600;2300;160;5295;90,75;21,05
118-0529;HC 30 600Х2400;600;2400;160;5525;94,76;21,96
120-1100;HC 30 600Х2500;600;2500;160;5755;98,63;22,88
118-0530;HC 30 600Х2600;600;2600;160;5985;102,51;23,79
120-1101;HC 30 600Х2700;600;2700;160;6215;106,38;24,71
118-0531;HC 30 600Х2800;600;2800;160;6446;110,26;25,62
120-1102;HC 30 600Х2900;600;2900;160;6676;114,13;26,54
118-0532;HC 30 600Х3000;600;3000;160;6906;118,01;27,45
118-0602;HC 30 900Х400;900;400;160;1272;24,38;5,54
118-0603;HC 30 900Х500;900;500;160;1590;30,18;6,93
118-0604;HC 30 900Х600;900;600;160;1908;35,98;8,31
118-0605;HC 30 900Х700;900;700;160;2226;41,78;9,70
118-0606;HC 30 900Х800;900;800;160;2544;47,58;11,08
118-0607;HC 30 900Х900;900;900;160;2862;53,51;12,47
118-0608;HC 30 900Х1000;900;1000;160;3180;59,31;13,85
118-0609;HC 30 900Х1100;900;1100;160;3498;65,11;15,24
118-0610;HC 30 900Х1200;900;1200;160;3816;70,91;16,62
118-0611;HC 30 900Х1300;900;1300;160;4134;76,71;18,01
118-0612;HC 30 900Х1400;900;1400;160;4452;82,64;19,39
118-0613;HC 30 900Х1500;900;1500;160;4770;88,44;20,78
118-0614;HC 30 900Х1600;900;1600;160;5088;94,24;22,16
118-0615;HC 30 900Х1700;900;1700;160;5406;100,09;23,55
118-0616;HC 30 900Х1800;900;1800;160;5724;105,88;24,93
