Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
118-0534;HC 30 300Х400;300;400;160;537;8,99;2,08
118-0535;HC 30 300Х500;300;500;160;671;10,94;2,60
118-0536;HC 30 300Х600;300;600;160;806;12,89;3,12
118-0537;HC 30 300Х700;300;700;160;940;14,84;3,64
118-0538;HC 30 300Х800;300;800;160;1074;16,79;4,16
118-0539;HC 30 300Х900;300;900;160;1208;18,87;4,68
118-0540;HC 30 300Х1000;300;1000;160;1343;20,82;5,20
118-0541;HC 30 300Х1100;300;1100;160;1477;22,77;5,72
118-0542;HC 30 300Х1200;300;1200;160;1611;24,72;6,24
118-0543;HC 30 300Х1300;300;1300;160;1746;26,67;6,76
118-0544;HC 30 300Х1400;300;1400;160;1880;28,76;7,28
118-0545;HC 30 300Х1500;300;1500;160;2014;30,70;7,80
118-0546;HC 30 300Х1600;300;1600;160;2148;32,65;8,32
118-0547;HC 30 300Х1700;300;1700;160;2283;34,65;8,84
118-0548;HC 30 300Х1800;300;1800;160;2417;36,60;9,36
118-0549;HC 30 300Х1900;300;1900;160;2551;38,69;9,88
118-0550;HC 30 300Х2000;300;2000;160;2685;40,64;10,40
120-1103;HC 30 300Х2100;300;2100;160;2820;42,59;10,92
118-0509;HC 30 300Х2200;300;2200;160;2954;44,54;11,44
120-1104;HC 30 300Х2300;300;2300;160;3088;46,49;11,96
118-0510;HC 30 300Х2400;300;2400;160;3223;48,57;12,48
120-1105;HC 30 300Х2500;300;2500;160;3357;50,52;13,00
118-0511;HC 30 300Х2600;300;2600;160;3491;52,47;13,52
120-1106;HC 30 300Х2700;300;2700;160;3625;54,42;14,04
118-0512;HC 30 300Х2800;300;2800;160;3760;56,37;14,56
120-1107;HC 30 300Х2900;300;2900;160;3894;58,32;15,08
118-0513;HC 30 300Х3000;300;3000;160;4028;60,27;15,60
118-0551;HC 30 400Х400;400;400;160;670;11,55;2,59
118-0552;HC 30 400Х500;400;500;160;837;14,14;3,24
118-0553;HC 30 400Х600;400;600;160;1005;16,74;3,89
118-0554;HC 30 400Х700;400;700;160;1172;19,33;4,54
118-0555;HC 30 400Х800;400;800;160;1340;21,92;5,18
118-0556;HC 30 400Х900;400;900;160;1507;24,64;5,83
118-0557;HC 30 400Х1000;400;1000;160;1675;27,24;6,48
118-0558;HC 30 400Х1100;400;1100;160;1842;29,83;7,13
118-0559;HC 30 400Х1200;400;1200;160;2009;32,42;7,78
118-0560;HC 30 400Х1300;400;1300;160;2177;35,01;8,42
118-0561;HC 30 400Х1400;400;1400;160;2344;37,74;9,07
118-0562;HC 30 400Х1500;400;1500;160;2512;40,33;9,72
118-0563;HC 30 400Х1600;400;1600;160;2679;42,92;10,37
118-0564;HC 30 400Х1700;400;1700;160;2847;45,56;11,02
118-0565;HC 30 400Х1800;400;1800;160;3014;48,15;11,66
118-0566;HC 30 400Х1900;400;1900;160;3182;50,88;12,31
118-0567;HC 30 400Х2000;400;2000;160;3349;53,47;12,96
120-1108;HC 30 400Х2100;400;2100;160;3517;56,06;13,61
118-0514;HC 30 400Х2200;400;2200;160;3684;58,65;14,26
120-1109;HC 30 400Х2300;400;2300;160;3852;61,24;14,90
118-0515;HC 30 400Х2400;400;2400;160;4019;63,97;15,55
120-1110;HC 30 400Х2500;400;2500;160;4186;66,56;16,20
118-0518;HC 30 400Х2600;400;2600;160;4354;69,15;16,85
120-1111;HC 30 400Х2700;400;2700;160;4521;71,74;17,50
118-0519;HC 30 400Х2800;400;2800;160;4689;74,33;18,14
120-1112;HC 30 400Х2900;400;2900;160;4856;76,92;18,79
118-0521;HC 30 400Х3000;400;3000;160;5024;79,52;19,44
118-0568;HC 30 500Х400;500;400;160;797;14,12;3,16
118-0569;HC 30 500Х500;500;500;160;996;17,35;3,95
118-0570;HC 30 500Х600;500;600;160;1196;20,59;4,74
118-0571;HC 30 500Х700;500;700;160;1395;23,82;5,53
118-0572;HC 30 500Х800;500;800;160;1594;27,05;6,32
118-0573;HC 30 500Х900;500;900;160;1794;30,42;7,11
118-0574;HC 30 500Х1000;500;1000;160;1993;33,65;7,90
