Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
117-8316;HC 10 600Х2000;600;2000;49;1951;26,59;6,10
117-8317;HC 10 600Х2100;600;2100;49;2049;27,89;6,41
117-8318;HC 10 600Х2200;600;2200;49;2146;29,19;6,71
117-8319;HC 10 600Х2300;600;2300;49;2244;30,49;7,02
117-8320;HC 10 600Х2400;600;2400;49;2341;31,79;7,32
117-8321;HC 10 600Х2500;600;2500;49;2439;33,09;7,63
117-8322;HC 10 600Х2600;600;2600;49;2536;34,39;7,93
117-8323;HC 10 600Х2700;600;2700;49;2634;35,69;8,24
117-8324;HC 10 600Х2800;600;2800;49;2731;36,99;8,54
117-8325;HC 10 600Х2900;600;2900;49;2829;38,28;8,85
117-8326;HC 10 600Х3000;600;3000;49;2926;39,58;9,15
117-8327;HC 10 900Х400;900;400;49;555;8,34;1,82
117-8328;HC 10 900Х500;900;500;49;694;10,29;2,28
117-8329;HC 10 900Х600;900;600;49;833;12,23;2,73
117-8330;HC 10 900Х700;900;700;49;972;14,17;3,19
117-8331;HC 10 900Х800;900;800;49;1111;16,12;3,64
117-8332;HC 10 900Х900;900;900;49;1249;18,06;4,10
117-8333;HC 10 900Х1000;900;1000;49;1388;20,01;4,55
117-8334;HC 10 900Х1100;900;1100;49;1527;21,95;5,01
117-8335;HC 10 900Х1200;900;1200;49;1666;23,89;5,46
117-8336;HC 10 900Х1300;900;1300;49;1805;25,84;5,92
117-8337;HC 10 900Х1400;900;1400;49;1944;27,78;6,37
117-8338;HC 10 900Х1500;900;1500;49;2082;29,73;6,83
117-8339;HC 10 900Х1600;900;1600;49;2221;31,67;7,28
117-8340;HC 10 900Х1700;900;1700;49;2360;33,67;7,74
117-8341;HC 10 900Х1800;900;1800;49;2499;35,61;8,19
117-8342;HC 10 900Х1900;900;1900;49;2638;37,55;8,65
117-8343;HC 10 900Х2000;900;2000;49;2777;39,50;9,10
117-8344;HC 10 900Х2100;900;2100;49;2915;41,44;9,56
117-8345;HC 10 900Х2200;900;2200;49;3054;43,39;10,01
117-8346;HC 10 900Х2300;900;2300;49;3193;45,33;10,47
117-8347;HC 10 900Х2400;900;2400;49;3332;47,28;10,92
117-8348;HC 10 900Х2500;900;2500;49;3471;49,22;11,38
117-8349;HC 10 900Х2600;900;2600;49;3610;51,16;11,83
117-8350;HC 10 900Х2700;900;2700;49;3748;53,11;12,29
117-8351;HC 10 900Х2800;900;2800;49;3887;55,05;12,74
117-8352;HC 10 900Х2900;900;2900;49;4026;57,00;13,20
117-8353;HC 10 900Х3000;900;3000;49;4165;58,94;13,65
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;; ;;
