Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
117-9422;VC 21 300Х400;300;400;70;454;6,54;1,41
117-9423;VC 21 300Х500;300;500;70;567;7,94;1,77
117-9424;VC 21 300Х600;300;600;70;680;9,33;2,12
117-9425;VC 21 300Х700;300;700;70;794;10,73;2,47
117-9426;VC 21 300Х800;300;800;70;907;12,12;2,82
117-9427;VC 21 300Х900;300;900;70;1020;13,57;3,18
117-9428;VC 21 300Х1000;300;1000;70;1134;14,97;3,53
117-9429;VC 21 300Х1100;300;1100;70;1247;16,36;3,88
117-9430;VC 21 300Х1200;300;1200;70;1361;17,76;4,24
117-9431;VC 21 300Х1300;300;1300;70;1474;19,15;4,59
117-9432;VC 21 300Х1400;300;1400;70;1587;20,60;4,94
117-9433;VC 21 300Х1500;300;1500;70;1701;22,00;5,30
117-9434;VC 21 300Х1600;300;1600;70;1814;23,39;5,65
117-9435;VC 21 300Х1700;300;1700;70;1928;24,84;6,00
117-9436;VC 21 300Х1800;300;1800;70;2041;26,23;6,35
117-9437;VC 21 300Х1900;300;1900;70;2154;27,68;6,71
117-9438;VC 21 300Х2000;300;2000;70;2268;29,07;7,06
117-9439;VC 21 300Х2100;300;2100;70;2381;30,47;7,41
117-9440;VC 21 300Х2200;300;2200;70;2494;31,86;7,77
117-9441;VC 21 300Х2300;300;2300;70;2608;33,26;8,12
117-9442;VC 21 300Х2400;300;2400;70;2721;34,71;8,47
117-9443;VC 21 300Х2500;300;2500;70;2835;36,10;8,83
117-9444;VC 21 300Х2600;300;2600;70;2948;37,50;9,18
117-9445;VC 21 300Х2700;300;2700;70;3061;38,89;9,53
117-9446;VC 21 300Х2800;300;2800;70;3175;40,29;9,88
117-9447;VC 21 300Х2900;300;2900;70;3288;41,68;10,24
117-9448;VC 21 300Х3000;300;3000;70;3402;43,08;10,59
117-9449;VC 21 400Х400;400;400;70;577;8,45;1,69
117-9450;VC 21 400Х500;400;500;70;721;10,32;2,12
117-9451;VC 21 400Х600;400;600;70;865;12,19;2,54
117-9452;VC 21 400Х700;400;700;70;1010;14,06;2,96
117-9453;VC 21 400Х800;400;800;70;1154;15,93;3,38
117-9454;VC 21 400Х900;400;900;70;1298;17,85;3,81
117-9455;VC 21 400Х1000;400;1000;70;1442;19,72;4,23
117-9456;VC 21 400Х1100;400;1100;70;1586;21,59;4,65
117-9457;VC 21 400Х1200;400;1200;70;1731;23,46;5,08
117-9458;VC 21 400Х1300;400;1300;70;1875;25,33;5,50
117-9459;VC 21 400Х1400;400;1400;70;2019;27,26;5,92
117-9460;VC 21 400Х1500;400;1500;70;2163;29,13;6,35
117-9461;VC 21 400Х1600;400;1600;70;2308;31,00;6,77
117-9462;VC 21 400Х1700;400;1700;70;2452;32,92;7,19
117-9463;VC 21 400Х1800;400;1800;70;2596;34,79;7,61
117-9464;VC 21 400Х1900;400;1900;70;2740;36,71;8,04
117-9465;VC 21 400Х2000;400;2000;70;2884;38,58;8,46
117-9466;VC 21 400Х2100;400;2100;70;3029;40,45;8,88
117-9467;VC 21 400Х2200;400;2200;70;3173;42,32;9,31
117-9468;VC 21 400Х2300;400;2300;70;3317;44,19;9,73
117-9469;VC 21 400Х2400;400;2400;70;3461;46,12;10,15
117-9470;VC 21 400Х2500;400;2500;70;3605;47,99;10,58
117-9471;VC 21 400Х2600;400;2600;70;3750;49,86;11,00
117-9472;VC 21 400Х2700;400;2700;70;3894;51,73;11,42
117-9473;VC 21 400Х2800;400;2800;70;4038;53,60;11,84
117-9474;VC 21 400Х2900;400;2900;70;4182;55,47;12,27
117-9475;VC 21 400Х3000;400;3000;70;4327;57,34;12,69
117-9476;VC 21 500Х400;500;400;70;694;10,35;2,12
117-9477;VC 21 500Х500;500;500;70;867;12,70;2,66
117-9478;VC 21 500Х600;500;600;70;1041;15,04;3,19
117-9479;VC 21 500Х700;500;700;70;1214;17,39;3,72
117-9480;VC 21 500Х800;500;800;70;1388;19,73;4,25
117-9481;VC 21 500Х900;500;900;70;1561;22,13;4,78
117-9482;VC 21 500Х1000;500;1000;70;1735;24,48;5,31
117-9483;VC 21 500Х1100;500;1100;70;1908;26,82;5,84
117-9484;VC 21 500Х1200;500;1200;70;2082;29,17;6,37
117-9485;VC 21 500Х1300;500;1300;70;2255;31,51;6,90
117-9486;VC 21 500Х1400;500;1400;70;2429;33,91;7,43
117-9487;VC 21 500Х1500;500;1500;70;2602;36,26;7,97
117-9488;VC 21 500Х1600;500;1600;70;2775;38,60;8,50
117-9489;VC 21 500Х1700;500;1700;70;2949;41,00;9,03
117-9490;VC 21 500Х1800;500;1800;70;3122;43,34;9,56
117-9491;VC 21 500Х1900;500;1900;70;3296;45,74;10,09
117-9492;VC 21 500Х2000;500;2000;70;3469;48,09;10,62
117-9493;VC 21 500Х2100;500;2100;70;3643;50,43;11,15
117-9494;VC 21 500Х2200;500;2200;70;3816;52,78;11,68
117-9495;VC 21 500Х2300;500;2300;70;3990;55,12;12,21
117-9496;VC 21 500Х2400;500;2400;70;4163;57,52;12,74
117-9497;VC 21 500Х2500;500;2500;70;4337;59,87;13,28
117-9498;VC 21 500Х2600;500;2600;70;4510;62,21;13,81
117-9499;VC 21 500Х2700;500;2700;70;4684;64,56;14,34
117-9500;VC 21 500Х2800;500;2800;70;4857;66,91;14,87
117-9501;VC 21 500Х2900;500;2900;70;5030;69,25;15,40
117-9502;VC 21 500Х3000;500;3000;70;5204;71,60;15,93
117-9503;VC 21 600Х400;600;400;70;807;12,25;2,40
117-9504;VC 21 600Х500;600;500;70;1009;15,07;3,00
117-9505;VC 21 600Х600;600;600;70;1211;17,89;3,60
117-9506;VC 21 600Х700;600;700;70;1413;20,72;4,20
117-9507;VC 21 600Х800;600;800;70;1615;23,54;4,80
117-9508;VC 21 600Х900;600;900;70;1816;26,41;5,40
117-9509;VC 21 600Х1000;600;1000;70;2018;29,23;6,00
117-9510;VC 21 600Х1100;600;1100;70;2220;32,05;6,60
117-9511;VC 21 600Х1200;600;1200;70;2422;34,87;7,20
117-9512;VC 21 600Х1300;600;1300;70;2624;37,69;7,80
