Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
117-9513;VC 21 600Х1400;600;1400;70;2826;40,57;8,40
117-9514;VC 21 600Х1500;600;1500;70;3027;43,39;9,00
117-9515;VC 21 600Х1600;600;1600;70;3229;46,21;9,60
117-9516;VC 21 600Х1700;600;1700;70;3431;49,08;10,20
117-9517;VC 21 600Х1800;600;1800;70;3633;51,90;10,80
117-9518;VC 21 600Х1900;600;1900;70;3835;54,77;11,40
117-9519;VC 21 600Х2000;600;2000;70;4036;57,60;12,00
117-9520;VC 21 600Х2100;600;2100;70;4238;60,42;12,60
117-9521;VC 21 600Х2200;600;2200;70;4440;63,24;13,20
117-9522;VC 21 600Х2300;600;2300;70;4642;66,06;13,80
117-9523;VC 21 600Х2400;600;2400;70;4844;68,93;14,40
117-9524;VC 21 600Х2500;600;2500;70;5046;71,75;15,00
117-9525;VC 21 600Х2600;600;2600;70;5247;74,57;15,60
117-9526;VC 21 600Х2700;600;2700;70;5449;77,39;16,20
117-9527;VC 21 600Х2800;600;2800;70;5651;80,22;16,80
117-9528;VC 21 600Х2900;600;2900;70;5853;83,04;17,40
117-9529;VC 21 600Х3000;600;3000;70;6055;85,86;18,00
117-9530;VC 21 900Х400;900;400;70;1126;17,96;3,84
117-9531;VC 21 900Х500;900;500;70;1408;22,21;4,80
117-9532;VC 21 900Х600;900;600;70;1689;26,46;5,76
117-9533;VC 21 900Х700;900;700;70;1971;30,70;6,72
117-9534;VC 21 900Х800;900;800;70;2252;34,95;7,68
117-9535;VC 21 900Х900;900;900;70;2534;39,25;8,64
117-9536;VC 21 900Х1000;900;1000;70;2815;43,50;9,60
117-9537;VC 21 900Х1100;900;1100;70;3097;47,74;10,56
117-9538;VC 21 900Х1200;900;1200;70;3379;51,99;11,52
117-9539;VC 21 900Х1300;900;1300;70;3660;56,23;12,48
117-9540;VC 21 900Х1400;900;1400;70;3942;60,53;13,44
117-9541;VC 21 900Х1500;900;1500;70;4223;64,78;14,40
117-9542;VC 21 900Х1600;900;1600;70;4505;69,03;15,36
117-9543;VC 21 900Х1700;900;1700;70;4786;73,32;16,32
117-9544;VC 21 900Х1800;900;1800;70;5068;77,57;17,28
117-9545;VC 21 900Х1900;900;1900;70;5349;81,87;18,24
117-9546;VC 21 900Х2000;900;2000;70;5631;86,12;19,20
117-9547;VC 21 900Х2100;900;2100;70;5912;90,36;20,16
117-9548;VC 21 900Х2200;900;2200;70;6194;94,61;21,12
117-9549;VC 21 900Х2300;900;2300;70;6476;98,86;22,08
117-9550;VC 21 900Х2400;900;2400;70;6757;103,16;23,04
117-9551;VC 21 900Х2500;900;2500;70;7039;107,40;24,00
117-9552;VC 21 900Х2600;900;2600;70;7320;111,65;24,96
117-9553;VC 21 900Х2700;900;2700;70;7602;115,90;25,92
117-9554;VC 21 900Х2800;900;2800;70;7883;120,14;26,88
117-9555;VC 21 900Х2900;900;2900;70;8165;124,39;27,84
117-9556;VC 21 900Х3000;900;3000;70;8446;128,63;28,80
