Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
117-9152;VC 11 300х400;300;400;53;295;3,95;0,70
117-9153;VC 11 300х500;300;500;53;369;4,73;0,88
117-9154;VC 11 300х600;300;600;53;443;5,51;1,06
117-9155;VC 11 300х700;300;700;53;517;6,29;1,23
117-9156;VC 11 300х800;300;800;53;590;7,07;1,41
117-9157;VC 11 300х900;300;900;53;664;7,85;1,58
117-9158;VC 11 300х1000;300;1000;53;738;8,63;1,76
117-9159;VC 11 300х1100;300;1100;53;812;9,41;1,94
117-9160;VC 11 300х1200;300;1200;53;886;10,19;2,11
117-9161;VC 11 300х1300;300;1300;53;959;10,97;2,29
117-9162;VC 11 300х1400;300;1400;53;1033;11,74;2,46
117-9163;VC 11 300х1500;300;1500;53;1107;12,52;2,64
117-9164;VC 11 300х1600;300;1600;53;1181;13,30;2,82
117-9165;VC 11 300х1700;300;1700;53;1255;14,13;2,99
117-9166;VC 11 300х1800;300;1800;53;1328;14,91;3,17
117-9167;VC 11 300х1900;300;1900;53;1402;15,69;3,34
117-9168;VC 11 300х2000;300;2000;53;1476;16,47;3,52
117-9169;VC 11 300х2100;300;2100;53;1550;17,25;3,70
117-9170;VC 11 300х2200;300;2200;53;1624;18,03;3,87
117-9171;VC 11 300х2300;300;2300;53;1697;18,81;4,05
117-9172;VC 11 300х2400;300;2400;53;1771;19,59;4,22
117-9173;VC 11 300х2500;300;2500;53;1845;20,37;4,40
117-9174;VC 11 300х2600;300;2600;53;1919;21,15;4,58
117-9175;VC 11 300х2700;300;2700;53;1993;21,93;4,75
117-9176;VC 11 300х2800;300;2800;53;2066;22,71;4,93
117-9177;VC 11 300х2900;300;2900;53;2140;23,49;5,10
117-9178;VC 11 300х3000;300;3000;53;2214;24,27;5,28
117-9179;VC 11 400Х400;400;400;53;388;5,05;0,87
117-9180;VC 11 400Х500;400;500;53;485;6,11;1,09
117-9181;VC 11 400Х600;400;600;53;582;7,16;1,30
117-9182;VC 11 400Х700;400;700;53;679;8,22;1,52
117-9183;VC 11 400Х800;400;800;53;776;9,28;1,74
117-9184;VC 11 400Х900;400;900;53;873;10,33;1,95
117-9185;VC 11 400Х1000;400;1000;53;970;11,39;2,17
117-9186;VC 11 400Х1100;400;1100;53;1067;12,44;2,39
117-9187;VC 11 400Х1200;400;1200;53;1164;13,50;2,60
117-9188;VC 11 400Х1300;400;1300;53;1261;14,56;2,82
117-9189;VC 11 400Х1400;400;1400;53;1358;15,61;3,04
117-9190;VC 11 400Х1500;400;1500;53;1455;16,67;3,26
117-9191;VC 11 400Х1600;400;1600;53;1552;17,72;3,47
117-9192;VC 11 400Х1700;400;1700;53;1649;18,83;3,69
117-9193;VC 11 400Х1800;400;1800;53;1746;19,89;3,91
117-9194;VC 11 400Х1900;400;1900;53;1843;20,94;4,12
117-9195;VC 11 400Х2000;400;2000;53;1940;22,00;4,34
117-9196;VC 11 400Х2100;400;2100;53;2037;23,05;4,56
117-9197;VC 11 400Х2200;400;2200;53;2134;24,11;4,77
117-9198;VC 11 400Х2300;400;2300;53;2231;25,17;4,99
