Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
117-9557;VC 22 300Х400;300;400;104;578;7,07;1,41
117-9558;VC 22 300Х500;300;500;104;722;8,57;1,77
117-9559;VC 22 300Х600;300;600;104;867;10,06;2,12
117-9560;VC 22 300Х700;300;700;104;1011;11,55;2,47
117-9561;VC 22 300Х800;300;800;104;1156;13,04;2,82
117-9562;VC 22 300Х900;300;900;104;1300;14,61;3,18
117-9563;VC 22 300Х1000;300;1000;104;1444;16,10;3,53
117-9564;VC 22 300Х1100;300;1100;104;1589;17,59;3,88
117-9565;VC 22 300Х1200;300;1200;104;1733;19,08;4,24
117-9566;VC 22 300Х1300;300;1300;104;1878;20,57;4,59
117-9567;VC 22 300Х1400;300;1400;104;2022;22,15;4,94
117-9568;VC 22 300Х1500;300;1500;104;2167;23,64;5,30
117-9569;VC 22 300Х1600;300;1600;104;2311;25,13;5,65
117-9570;VC 22 300Х1700;300;1700;104;2456;26,67;6,00
117-9571;VC 22 300Х1800;300;1800;104;2600;28,16;6,35
117-9572;VC 22 300Х1900;300;1900;104;2744;29,73;6,71
117-9573;VC 22 300Х2000;300;2000;104;2889;31,22;7,06
117-9574;VC 22 300Х2100;300;2100;104;3033;32,71;7,41
117-9575;VC 22 300Х2200;300;2200;104;3178;34,21;7,77
117-9576;VC 22 300Х2300;300;2300;104;3322;35,70;8,12
117-9577;VC 22 300Х2400;300;2400;104;3467;37,27;8,47
117-9578;VC 22 300Х2500;300;2500;104;3611;38,76;8,83
117-9579;VC 22 300Х2600;300;2600;104;3756;40,25;9,18
117-9580;VC 22 300Х2700;300;2700;104;3900;41,74;9,53
117-9581;VC 22 300Х2800;300;2800;104;4045;43,23;9,88
117-9582;VC 22 300Х2900;300;2900;104;4189;44,72;10,24
117-9583;VC 22 300Х3000;300;3000;104;4333;46,21;10,59
117-9584;VC 22 400Х400;400;400;104;736;9,15;1,69
117-9585;VC 22 400Х500;400;500;104;921;11,17;2,12
117-9586;VC 22 400Х600;400;600;104;1105;13,18;2,54
117-9587;VC 22 400Х700;400;700;104;1289;15,19;2,96
117-9588;VC 22 400Х800;400;800;104;1473;17,21;3,38
117-9589;VC 22 400Х900;400;900;104;1657;19,30;3,81
117-9590;VC 22 400Х1000;400;1000;104;1841;21,32;4,23
117-9591;VC 22 400Х1100;400;1100;104;2025;23,33;4,65
117-9592;VC 22 400Х1200;400;1200;104;2209;25,34;5,08
117-9593;VC 22 400Х1300;400;1300;104;2394;27,36;5,50
117-9594;VC 22 400Х1400;400;1400;104;2578;29,45;5,92
117-9595;VC 22 400Х1500;400;1500;104;2762;31,47;6,35
117-9596;VC 22 400Х1600;400;1600;104;2946;33,48;6,77
117-9597;VC 22 400Х1700;400;1700;104;3130;35,54;7,19
117-9598;VC 22 400Х1800;400;1800;104;3314;37,56;7,61
117-9599;VC 22 400Х1900;400;1900;104;3498;39,65;8,04
117-9600;VC 22 400Х2000;400;2000;104;3682;41,67;8,46
117-9601;VC 22 400Х2100;400;2100;104;3867;43,68;8,88
117-9602;VC 22 400Х2200;400;2200;104;4051;45,70;9,31
117-9603;VC 22 400Х2300;400;2300;104;4235;47,71;9,73
117-9604;VC 22 400Х2400;400;2400;104;4419;49,80;10,15
