Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
117-9605;VC 22 400Х2500;400;2500;104;4603;51,82;10,58
117-9606;VC 22 400Х2600;400;2600;104;4787;53,83;11,00
117-9607;VC 22 400Х2700;400;2700;104;4971;55,85;11,42
117-9608;VC 22 400Х2800;400;2800;104;5155;57,86;11,84
117-9609;VC 22 400Х2900;400;2900;104;5340;59,87;12,27
117-9610;VC 22 400Х3000;400;3000;104;5524;61,89;12,69
117-9611;VC 22 500Х400;500;400;104;886;11,23;2,12
117-9612;VC 22 500Х500;500;500;104;1107;13,77;2,66
117-9613;VC 22 500Х600;500;600;104;1329;16,30;3,19
117-9614;VC 22 500Х700;500;700;104;1550;18,84;3,72
117-9615;VC 22 500Х800;500;800;104;1772;21,38;4,25
117-9616;VC 22 500Х900;500;900;104;1993;24,00;4,78
117-9617;VC 22 500Х1000;500;1000;104;2215;26,53;5,31
117-9618;VC 22 500Х1100;500;1100;104;2436;29,07;5,84
117-9619;VC 22 500Х1200;500;1200;104;2658;31,61;6,37
117-9620;VC 22 500Х1300;500;1300;104;2879;34,14;6,90
117-9621;VC 22 500Х1400;500;1400;104;3101;36,76;7,43
117-9622;VC 22 500Х1500;500;1500;104;3322;39,30;7,97
117-9623;VC 22 500Х1600;500;1600;104;3544;41,83;8,50
117-9624;VC 22 500Х1700;500;1700;104;3765;44,42;9,03
117-9625;VC 22 500Х1800;500;1800;104;3987;46,96;9,56
117-9626;VC 22 500Х1900;500;1900;104;4208;49,57;10,09
117-9627;VC 22 500Х2000;500;2000;104;4430;52,11;10,62
117-9628;VC 22 500Х2100;500;2100;104;4651;54,65;11,15
117-9629;VC 22 500Х2200;500;2200;104;4873;57,18;11,68
117-9630;VC 22 500Х2300;500;2300;104;5094;59,72;12,21
117-9631;VC 22 500Х2400;500;2400;104;5316;62,34;12,74
117-9632;VC 22 500Х2500;500;2500;104;5537;64,87;13,28
117-9633;VC 22 500Х2600;500;2600;104;5759;67,41;13,81
117-9634;VC 22 500Х2700;500;2700;104;5980;69,95;14,34
117-9635;VC 22 500Х2800;500;2800;104;6202;72,48;14,87
117-9636;VC 22 500Х2900;500;2900;104;6423;75,02;15,40
117-9637;VC 22 500Х3000;500;3000;104;6645;77,56;15,93
117-9638;VC 22 600Х400;600;400;104;1027;13,31;2,40
117-9639;VC 22 600Х500;600;500;104;1284;16,37;3,00
117-9640;VC 22 600Х600;600;600;104;1541;19,43;3,60
117-9641;VC 22 600Х700;600;700;104;1798;22,49;4,20
117-9642;VC 22 600Х800;600;800;104;2055;25,55;4,80
117-9643;VC 22 600Х900;600;900;104;2311;28,69;5,40
117-9644;VC 22 600Х1000;600;1000;104;2568;31,75;6,00
117-9645;VC 22 600Х1100;600;1100;104;2825;34,81;6,60
117-9646;VC 22 600Х1200;600;1200;104;3082;37,87;7,20
117-9647;VC 22 600Х1300;600;1300;104;3339;40,92;7,80
117-9648;VC 22 600Х1400;600;1400;104;3596;44,07;8,40
117-9649;VC 22 600Х1500;600;1500;104;3852;47,13;9,00
117-9650;VC 22 600Х1600;600;1600;104;4109;50,18;9,60
117-9651;VC 22 600Х1700;600;1700;104;4366;53,29;10,20
117-9652;VC 22 600Х1800;600;1800;104;4623;56,35;10,80
117-9653;VC 22 600Х1900;600;1900;104;4880;59,49;11,40
117-9654;VC 22 600Х2000;600;2000;104;5137;62,55;12,00
117-9655;VC 22 600Х2100;600;2100;104;5393;65,61;12,60
117-9656;VC 22 600Х2200;600;2200;104;5650;68,67;13,20
117-9657;VC 22 600Х2300;600;2300;104;5907;71,73;13,80
117-9658;VC 22 600Х2400;600;2400;104;6164;74,87;14,40
117-9659;VC 22 600Х2500;600;2500;104;6421;77,93;15,00
117-9660;VC 22 600Х2600;600;2600;104;6678;80,99;15,60
117-9661;VC 22 600Х2700;600;2700;104;6934;84,05;16,20
117-9662;VC 22 600Х2800;600;2800;104;7191;87,11;16,80
117-9663;VC 22 600Х2900;600;2900;104;7448;90,17;17,40
117-9664;VC 22 600Х3000;600;3000;104;7705;93,23;18,00
117-9665;VC 22 900Х400;900;400;104;1428;19,54;3,84
117-9666;VC 22 900Х500;900;500;104;1785;24,17;4,80
117-9667;VC 22 900Х600;900;600;104;2142;28,80;5,76
117-9668;VC 22 900Х700;900;700;104;2500;33,43;6,72
117-9669;VC 22 900Х800;900;800;104;2857;38,06;7,68
117-9670;VC 22 900Х900;900;900;104;3214;42,76;8,64
117-9671;VC 22 900Х1000;900;1000;104;3571;47,39;9,60
117-9672;VC 22 900Х1100;900;1100;104;3928;52,02;10,56
117-9673;VC 22 900Х1200;900;1200;104;4285;56,65;11,52
117-9674;VC 22 900Х1300;900;1300;104;4642;61,27;12,48
117-9675;VC 22 900Х1400;900;1400;104;4999;65,99;13,44
117-9676;VC 22 900Х1500;900;1500;104;5356;70,61;14,40
117-9677;VC 22 900Х1600;900;1600;104;5713;75,24;15,36
117-9678;VC 22 900Х1700;900;1700;104;6070;79,92;16,32
117-9679;VC 22 900Х1800;900;1800;104;6427;84,55;17,28
117-9680;VC 22 900Х1900;900;1900;104;6784;89,26;18,24
117-9681;VC 22 900Х2000;900;2000;104;7142;93,88;19,20
117-9682;VC 22 900Х2100;900;2100;104;7499;98,51;20,16
117-9683;VC 22 900Х2200;900;2200;104;7856;103,14;21,12
117-9684;VC 22 900Х2300;900;2300;104;8213;107,77;22,08
117-9685;VC 22 900Х2400;900;2400;104;8570;112,48;23,04
117-9686;VC 22 900Х2500;900;2500;104;8927;117,10;24,00
117-9687;VC 22 900Х2600;900;2600;104;9284;121,73;24,96
117-9688;VC 22 900Х2700;900;2700;104;9641;126,36;25,92
117-9689;VC 22 900Х2800;900;2800;104;9998;130,99;26,88
117-9690;VC 22 900Х2900;900;2900;104;10355;135,62;27,84
117-9691;VC 22 900Х3000;900;3000;104;10712;140,24;28,80
