Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
118-0617;HVC 30 300Х400;300;400;160;537;9,32;2,08
118-0618;HVC 30 300Х500;300;500;160;671;11,27;2,60
118-0619;HVC 30 300Х600;300;600;160;806;13,22;3,12
118-0620;HVC 30 300Х700;300;700;160;940;15,16;3,64
118-0621;HVC 30 300Х800;300;800;160;1074;17,12;4,16
118-0622;HVC 30 300Х900;300;900;160;1208;19,20;4,68
118-0623;HVC 30 300Х1000;300;1000;160;1343;21,15;5,20
118-0624;HVC 30 300Х1100;300;1100;160;1477;23,10;5,72
118-0625;HVC 30 300Х1200;300;1200;160;1611;25,05;6,24
118-0626;HVC 30 300Х1300;300;1300;160;1746;27,00;6,76
118-0627;HVC 30 300Х1400;300;1400;160;1880;29,08;7,28
118-0628;HVC 30 300Х1500;300;1500;160;2014;31,03;7,80
118-0629;HVC 30 300Х1600;300;1600;160;2148;32,98;8,32
118-0630;HVC 30 300Х1700;300;1700;160;2283;34,98;8,84
118-0631;HVC 30 300Х1800;300;1800;160;2417;36,93;9,36
118-0632;HVC 30 300Х1900;300;1900;160;2551;39,02;9,88
118-0633;HVC 30 300Х2000;300;2000;160;2685;40,97;10,40
120-1118;HVC 30 300Х2100;300;2100;160;2820;42,92;10,92
118-0533;HVC 30 300Х2200;300;2200;160;2954;44,87;11,44
120-1119;HVC 30 300Х2300;300;2300;160;3088;46,81;11,96
118-0634;HVC 30 300Х2400;300;2400;160;3223;48,90;12,48
120-1120;HVC 30 300Х2500;300;2500;160;3357;50,85;13,00
118-0635;HVC 30 300Х2600;300;2600;160;3491;52,80;13,52
120-1121;HVC 30 300Х2700;300;2700;160;3625;54,75;14,04
118-0636;HVC 30 300Х2800;300;2800;160;3760;56,70;14,56
120-1122;HVC 30 300Х2900;300;2900;160;3894;58,65;15,08
118-0640;HVC 30 300Х3000;300;3000;160;4028;60,60;15,60
118-0640;HVC 30 400Х400;400;400;160;670;11,90;2,59
118-0641;HVC 30 400Х500;400;500;160;837;14,49;3,24
118-0642;HVC 30 400Х600;400;600;160;1005;17,08;3,89
118-0643;HVC 30 400Х700;400;700;160;1172;19,67;4,54
