Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
118-0644;HVC 30 400Х800;400;800;160;1340;22,27;5,18
118-0645;HVC 30 400Х900;400;900;160;1507;24,99;5,83
118-0646;HVC 30 400Х1000;400;1000;160;1675;27,58;6,48
118-0647;HVC 30 400Х1100;400;1100;160;1842;30,17;7,13
118-0648;HVC 30 400Х1200;400;1200;160;2009;32,76;7,78
118-0649;HVC 30 400Х1300;400;1300;160;2177;35,36;8,42
118-0650;HVC 30 400Х1400;400;1400;160;2344;38,08;9,07
118-0651;HVC 30 400Х1500;400;1500;160;2512;40,67;9,72
118-0652;HVC 30 400Х1600;400;1600;160;2679;43,26;10,37
118-0653;HVC 30 400Х1700;400;1700;160;2847;45,90;11,02
118-0654;HVC 30 400Х1800;400;1800;160;3014;48,50;11,66
118-0655;HVC 30 400Х1900;400;1900;160;3182;51,22;12,31
118-0656;HVC 30 400Х2000;400;2000;160;3349;53,81;12,96
120-1133;HVC 30 400Х2100;400;2100;160;3517;56,40;13,61
118-0657;HVC 30 400Х2200;400;2200;160;3684;59,00;14,26
120-1134;HVC 30 400Х2300;400;2300;160;3852;61,59;14,90
118-0658;HVC 30 400Х2400;400;2400;160;4019;64,31;15,55
120-1135;HVC 30 400Х2500;400;2500;160;4186;66,90;16,20
118-0659;HVC 30 400Х2600;400;2600;160;4354;69,50;16,85
120-1136;HVC 30 400Х2700;400;2700;160;4521;72,09;17,50
118-0660;HVC 30 400Х2800;400;2800;160;4689;74,68;18,14
120-1137;HVC 30 400Х2900;400;2900;160;4856;77,27;18,79
118-0661;HVC 30 400Х3000;400;3000;160;5024;79,86;19,44
118-0662;HVC 30 500Х400;500;400;160;797;14,48;3,16
118-0663;HVC 30 500Х500;500;500;160;996;17,72;3,95
118-0664;HVC 30 500Х600;500;600;160;1196;20,95;4,74
118-0665;HVC 30 500Х700;500;700;160;1395;24,18;5,53
118-0666;HVC 30 500Х800;500;800;160;1594;27,42;6,32
118-0667;HVC 30 500Х900;500;900;160;1794;30,78;7,11
118-0668;HVC 30 500Х1000;500;1000;160;1993;34,01;7,90
118-0669;HVC 30 500Х1100;500;1100;160;2192;37,25;8,69
118-0670;HVC 30 500Х1200;500;1200;160;2391;40,48;9,48
118-0671;HVC 30 500Х1300;500;1300;160;2591;43,71;10,27
118-0672;HVC 30 500Х1400;500;1400;160;2790;47,08;11,06
118-0673;HVC 30 500Х1500;500;1500;160;2989;50,31;11,85
118-0674;HVC 30 500Х1600;500;1600;160;3188;53,55;12,64
118-0675;HVC 30 500Х1700;500;1700;160;3388;56,83;13,43
118-0676;HVC 30 500Х1800;500;1800;160;3587;60,06;14,22
118-0677;HVC 30 500Х1900;500;1900;160;3786;63,43;15,01
118-0678;HVC 30 500Х2000;500;2000;160;3986;66,66;15,80
120-1123;HVC 30 500Х2100;500;2100;160;4185;69,90;16,59
118-0679;HVC 30 500Х2200;500;2200;160;4384;73,13;17,38
120-1124;HVC 30 500Х2300;500;2300;160;4583;76,36;18,17
118-0680;HVC 30 500Х2400;500;2400;160;4783;79,73;18,96
120-1125;HVC 30 500Х2500;500;2500;160;4982;82,96;19,75
118-0681;HVC 30 500Х2600;500;2600;160;5181;86,19;20,54
120-1126;HVC 30 500Х2700;500;2700;160;5381;89,43;21,33
118-0682;HVC 30 500Х2800;500;2800;160;5580;92,66;22,12
120-1127;HVC 30 500Х2900;500;2900;160;5779;95,89;22,91
118-0683;HVC 30 500Х3000;500;3000;160;5978;99,13;23,70
118-0684;HVC 30 600Х400;600;400;160;921;17,07;3,66
118-0685;HVC 30 600Х500;600;500;160;1151;20,94;4,58
118-0686;HVC 30 600Х600;600;600;160;1381;24,82;5,49
118-0687;HVC 30 600Х700;600;700;160;1611;28,69;6,41
118-0688;HVC 30 600Х800;600;800;160;1842;32,56;7,32
118-0689;HVC 30 600Х900;600;900;160;2072;36,57;8,24
118-0690;HVC 30 600Х1000;600;1000;160;2302;40,45;9,15
118-0691;HVC 30 600Х1100;600;1100;160;2532;44,32;10,07
118-0692;HVC 30 600Х1200;600;1200;160;2762;48,20;10,98
118-0693;HVC 30 600Х1300;600;1300;160;2993;52,07;11,90
118-0694;HVC 30 600Х1400;600;1400;160;3223;56,08;12,81
118-0695;HVC 30 600Х1500;600;1500;160;3453;59,95;13,73
118-0696;HVC 30 600Х1600;600;1600;160;3683;63,83;14,64
118-0697;HVC 30 600Х1700;600;1700;160;3913;67,75;15,56
118-0698;HVC 30 600Х1800;600;1800;160;4144;71,63;16,47
118-0699;HVC 30 600Х1900;600;1900;160;4374;75,63;17,39
118-0700;HVC 30 600Х2000;600;2000;160;4604;79,51;18,30
120-1128;HVC 30 600Х2100;600;2100;160;4834;83,38;19,22
118-0701;HVC 30 600Х2200;600;2200;160;5064;87,26;20,13
120-1129;HVC 30 600Х2300;600;2300;160;5295;91,13;21,05
118-0702;HVC 30 600Х2400;600;2400;160;5525;95,14;21,96
120-1130;HVC 30 600Х2500;600;2500;160;5755;99,02;22,88
118-0703;HVC 30 600Х2600;600;2600;160;5985;102,89;23,79
120-1131;HVC 30 600Х2700;600;2700;160;6215;106,76;24,71
118-0704;HVC 30 600Х2800;600;2800;160;6446;110,64;25,62
120-1132;HVC 30 600Х2900;600;2900;160;6676;114,51;26,54
118-0705;HVC 30 600Х3000;600;3000;160;6906;118,39;27,45
118-0706;HVC 30 900Х400;900;400;160;1272;24,82;5,54
118-0707;HVC 30 900Х500;900;500;160;1590;30,62;6,93
118-0708;HVC 30 900Х600;900;600;160;1908;36,42;8,31
118-0709;HVC 30 900Х700;900;700;160;2226;42,22;9,70
118-0710;HVC 30 900Х800;900;800;160;2544;48,02;11,08
118-0711;HVC 30 900Х900;900;900;160;2862;53,95;12,47
118-0712;HVC 30 900Х1000;900;1000;160;3180;59,75;13,85
118-0713;HVC 30 900Х1100;900;1100;160;3498;65,54;15,24
118-0714;HVC 30 900Х1200;900;1200;160;3816;71,34;16,62
118-0715;HVC 30 900Х1300;900;1300;160;4134;77,14;18,01
118-0716;HVC 30 900Х1400;900;1400;160;4452;83,08;19,39
118-0717;HVC 30 900Х1500;900;1500;160;4770;88,88;20,78
118-0718;HVC 30 900Х1600;900;1600;160;5088;94,67;22,16
118-0719;HVC 30 900Х1700;900;1700;160;5406;100,52;23,55
118-0720;HVC 30 900Х1800;900;1800;160;5724;106,32;24,93
