Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
117-9287;HVC 20 300Х400;300;400;104;382;6,19;1,41
117-9288;HVC 20 300Х500;300;500;104;478;7,49;1,77
117-9289;HVC 20 300Х600;300;600;104;574;8,79;2,12
117-9290;HVC 20 300Х700;300;700;104;669;10,09;2,47
117-9291;HVC 20 300Х800;300;800;104;765;11,39;2,82
117-9292;HVC 20 300Х900;300;900;104;860;12,74;3,18
117-9293;HVC 20 300Х1000;300;1000;104;956;14,04;3,53
117-9294;HVC 20 300Х1100;300;1100;104;1051;15,34;3,88
117-9295;HVC 20 300Х1200;300;1200;104;1147;16,64;4,24
117-9296;HVC 20 300Х1300;300;1300;104;1243;17,94;4,59
117-9297;HVC 20 300Х1400;300;1400;104;1338;19,29;4,94
117-9298;HVC 20 300Х1500;300;1500;104;1434;20,59;5,30
117-9299;HVC 20 300Х1600;300;1600;104;1529;21,89;5,65
117-9300;HVC 20 300Х1700;300;1700;104;1625;23,24;6,00
117-9301;HVC 20 300Х1800;300;1800;104;1721;24,54;6,35
117-9302;HVC 20 300Х1900;300;1900;104;1816;25,89;6,71
117-9303;HVC 20 300Х2000;300;2000;104;1912;27,19;7,06
117-9304;HVC 20 300Х2100;300;2100;104;2007;28,49;7,41
117-9305;HVC 20 300Х2200;300;2200;104;2103;29,79;7,77
117-9306;HVC 20 300Х2300;300;2300;104;2198;31,09;8,12
117-9307;HVC 20 300Х2400;300;2400;104;2294;32,44;8,47
117-9308;HVC 20 300Х2500;300;2500;104;2390;33,74;8,83
117-9309;HVC 20 300Х2600;300;2600;104;2485;35,04;9,18
117-9310;HVC 20 300Х2700;300;2700;104;2581;36,34;9,53
117-9311;HVC 20 300Х2800;300;2800;104;2676;37,64;9,88
117-9312;HVC 20 300Х2900;300;2900;104;2772;38,94;10,24
117-9313;HVC 20 300Х3000;300;3000;104;2868;40,24;10,59
117-9314;HVC 20 400Х400;400;400;104;482;7,92;1,69
117-9315;HVC 20 400Х500;400;500;104;602;9,65;2,12
117-9316;HVC 20 400Х600;400;600;104;722;11,37;2,54
117-9317;HVC 20 400Х700;400;700;104;843;13,10;2,96
117-9318;HVC 20 400Х800;400;800;104;963;14,83;3,38
117-9319;HVC 20 400Х900;400;900;104;1084;16,61;3,81
117-9320;HVC 20 400Х1000;400;1000;104;1204;18,33;4,23
117-9321;HVC 20 400Х1100;400;1100;104;1324;20,06;4,65
117-9322;HVC 20 400Х1200;400;1200;104;1445;21,79;5,08
117-9323;HVC 20 400Х1300;400;1300;104;1565;23,51;5,50
117-9324;HVC 20 400Х1400;400;1400;104;1686;25,29;5,92
117-9325;HVC 20 400Х1500;400;1500;104;1806;27,02;6,35
117-9326;HVC 20 400Х1600;400;1600;104;1927;28,75;6,77
117-9327;HVC 20 400Х1700;400;1700;104;2047;30,52;7,19
117-9328;HVC 20 400Х1800;400;1800;104;2167;32,25;7,61
117-9329;HVC 20 400Х1900;400;1900;104;2288;34,03;8,04
117-9330;HVC 20 400Х2000;400;2000;104;2408;35,76;8,46
117-9331;HVC 20 400Х2100;400;2100;104;2529;37,48;8,88
117-9332;HVC 20 400Х2200;400;2200;104;2649;39,21;9,31
117-9333;HVC 20 400Х2300;400;2300;104;2769;40,94;9,73
117-9334;HVC 20 400Х2400;400;2400;104;2890;42,72;10,15
117-9335;HVC 20 400Х2500;400;2500;104;3010;44,44;10,58
117-9336;HVC 20 400Х2600;400;2600;104;3131;46,17;11,00
117-9337;HVC 20 400Х2700;400;2700;104;3251;47,90;11,42
117-9338;HVC 20 400Х2800;400;2800;104;3371;49,63;11,84
117-9339;HVC 20 400Х2900;400;2900;104;3492;51,35;12,27
117-9340;HVC 20 400Х3000;400;3000;104;3612;53,08;12,69
117-9341;HVC 20 500Х400;500;400;104;575;9,65;2,12
117-9342;HVC 20 500Х500;500;500;104;719;11,80;2,66
117-9343;HVC 20 500Х600;500;600;104;863;13,96;3,19
117-9344;HVC 20 500Х700;500;700;104;1007;16,11;3,72
117-9345;HVC 20 500Х800;500;800;104;1151;18,27;4,25
117-9346;HVC 20 500Х900;500;900;104;1294;20,47;4,78
117-9347;HVC 20 500Х1000;500;1000;104;1438;22,63;5,31
117-9348;HVC 20 500Х1100;500;1100;104;1582;24,78;5,84
117-9349;HVC 20 500Х1200;500;1200;104;1726;26,94;6,37
117-9350;HVC 20 500Х1300;500;1300;104;1870;29,09;6,90
117-9351;HVC 20 500Х1400;500;1400;104;2014;31,30;7,43
117-9352;HVC 20 500Х1500;500;1500;104;2157;33,45;7,97
117-9353;HVC 20 500Х1600;500;1600;104;2301;35,61;8,50
117-9354;HVC 20 500Х1700;500;1700;104;2445;37,81;9,03
117-9355;HVC 20 500Х1800;500;1800;104;2589;39,97;9,56
117-9356;HVC 20 500Х1900;500;1900;104;2733;42,17;10,09
117-9357;HVC 20 500Х2000;500;2000;104;2877;44,33;10,62
117-9358;HVC 20 500Х2100;500;2100;104;3020;46,48;11,15
117-9359;HVC 20 500Х2200;500;2200;104;3164;48,63;11,68
117-9360;HVC 20 500Х2300;500;2300;104;3308;50,79;12,21
117-9361;HVC 20 500Х2400;500;2400;104;3452;53,00;12,74
117-9362;HVC 20 500Х2500;500;2500;104;3596;55,15;13,28
117-9363;HVC 20 500Х2600;500;2600;104;3740;57,30;13,81
117-9364;HVC 20 500Х2700;500;2700;104;3883;59,46;14,34
117-9365;HVC 20 500Х2800;500;2800;104;4027;61,61;14,87
117-9366;HVC 20 500Х2900;500;2900;104;4171;63,77;15,40
117-9367;HVC 20 500Х3000;500;3000;104;4315;65,92;15,93
117-9368;HVC 20 600Х400;600;400;104;663;11,38;2,40
117-9369;HVC 20 600Х500;600;500;104;829;13,96;3,00
117-9370;HVC 20 600Х600;600;600;104;995;16,54;3,60
117-9371;HVC 20 600Х700;600;700;104;1161;19,12;4,20
117-9372;HVC 20 600Х800;600;800;104;1327;21,70;4,80
117-9373;HVC 20 600Х900;600;900;104;1493;24,34;5,40
117-9374;HVC 20 600Х1000;600;1000;104;1658;26,92;6,00
117-9375;HVC 20 600Х1100;600;1100;104;1824;29,50;6,60
117-9376;HVC 20 600Х1200;600;1200;104;1990;32,08;7,20
117-9377;HVC 20 600Х1300;600;1300;104;2156;34,67;7,80
117-9378;HVC 20 600Х1400;600;1400;104;2322;37,30;8,40
117-9379;HVC 20 600Х1500;600;1500;104;2488;39,88;9,00
117-9380;HVC 20 600Х1600;600;1600;104;2654;42,46;9,60
117-9381;HVC 20 600Х1700;600;1700;104;2819;45,10;10,20
117-9382;HVC 20 600Х1800;600;1800;104;2985;47,68;10,80
117-9383;HVC 20 600Х1900;600;1900;104;3151;50,31;11,40
117-9384;HVC 20 600Х2000;600;2000;104;3317;52,89;12,00
117-9385;HVC 20 600Х2100;600;2100;104;3483;55,48;12,60
117-9386;HVC 20 600Х2200;600;2200;104;3649;58,06;13,20
117-9387;HVC 20 600Х2300;600;2300;104;3814;60,64;13,80
117-9388;HVC 20 600Х2400;600;2400;104;3980;63,27;14,40
117-9389;HVC 20 600Х2500;600;2500;104;4146;65,86;15,00
117-9390;HVC 20 600Х2600;600;2600;104;4312;68,44;15,60
117-9391;HVC 20 600Х2700;600;2700;104;4478;71,02;16,20
117-9392;HVC 20 600Х2800;600;2800;104;4644;73,60;16,80
117-9393;HVC 20 600Х2900;600;2900;104;4810;76,18;17,40
117-9394;HVC 20 600Х3000;600;3000;104;4975;78,77;18,00
117-9395;HVC 20 900Х400;900;400;104;913;16,56;3,84
117-9396;HVC 20 900Х500;900;500;104;1141;20,42;4,80
117-9397;HVC 20 900Х600;900;600;104;1369;24,29;5,76
117-9398;HVC 20 900Х700;900;700;104;1597;28,15;6,72
117-9399;HVC 20 900Х800;900;800;104;1825;32,02;7,68
117-9400;HVC 20 900Х900;900;900;104;2053;35,93;8,64
117-9401;HVC 20 900Х1000;900;1000;104;2282;39,80;9,60
117-9402;HVC 20 900Х1100;900;1100;104;2510;43,66;10,56
117-9403;HVC 20 900Х1200;900;1200;104;2738;47,53;11,52
117-9404;HVC 20 900Х1300;900;1300;104;2966;51,39;12,48
117-9405;HVC 20 900Х1400;900;1400;104;3194;55,31;13,44
117-9406;HVC 20 900Х1500;900;1500;104;3422;59,17;14,40
117-9407;HVC 20 900Х1600;900;1600;104;3651;63,04;15,36
117-9408;HVC 20 900Х1700;900;1700;104;3879;66,95;16,32
117-9409;HVC 20 900Х1800;900;1800;104;4107;70,82;17,28
117-9410;HVC 20 900Х1900;900;1900;104;4335;74,73;18,24
117-9411;HVC 20 900Х2000;900;2000;104;4563;78,60;19,20
117-9412;HVC 20 900Х2100;900;2100;104;4791;82,46;20,16
117-9413;HVC 20 900Х2200;900;2200;104;5020;86,33;21,12
117-9414;HVC 20 900Х2300;900;2300;104;5248;90,19;22,08
117-9415;HVC 20 900Х2400;900;2400;104;5476;94,11;23,04
117-9416;HVC 20 900Х2500;900;2500;104;5704;97,97;24,00
117-9417;HVC 20 900Х2600;900;2600;104;5932;101,84;24,96
117-9418;HVC 20 900Х2700;900;2700;104;6160;105,70;25,92
117-9419;HVC 20 900Х2800;900;2800;104;6389;109,57;26,88
117-9420;HVC 20 900Х2900;900;2900;104;6617;113,43;27,84
117-9421;HVC 20 900Х3000;900;3000;104;6845;117,30;28,80
