Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
117-8624;C 21 300Х400;300;400;70;454;6,22;1,41
117-8625;C 21 300Х500;300;500;70;567;7,61;1,77
117-8626;C 21 300Х600;300;600;70;680;9,01;2,12
117-8627;C 21 300Х700;300;700;70;794;10,40;2,47
117-8628;C 21 300Х800;300;800;70;907;11,80;2,82
117-8629;C 21 300Х900;300;900;70;1020;13,25;3,18
117-8630;C 21 300Х1000;300;1000;70;1134;14,64;3,53
117-8631;C 21 300Х1100;300;1100;70;1247;16,04;3,88
117-8632;C 21 300Х1200;300;1200;70;1361;17,43;4,24
117-8633;C 21 300Х1300;300;1300;70;1474;18,83;4,59
117-8634;C 21 300Х1400;300;1400;70;1587;20,27;4,94
117-8635;C 21 300Х1500;300;1500;70;1701;21,67;5,30
117-8636;C 21 300Х1600;300;1600;70;1814;23,06;5,65
117-8637;C 21 300Х1700;300;1700;70;1928;24,51;6,00
117-8638;C 21 300Х1800;300;1800;70;2041;25,90;6,35
117-8639;C 21 300Х1900;300;1900;70;2154;27,35;6,71
117-8640;C 21 300Х2000;300;2000;70;2268;28,75;7,06
117-8641;C 21 300Х2100;300;2100;70;2381;30,14;7,41
117-8642;C 21 300Х2200;300;2200;70;2494;31,54;7,77
117-8643;C 21 300Х2300;300;2300;70;2608;32,93;8,12
117-8644;C 21 300Х2400;300;2400;70;2721;34,38;8,47
117-8645;C 21 300Х2500;300;2500;70;2835;35,78;8,83
117-8646;C 21 300Х2600;300;2600;70;2948;37,17;9,18
117-8647;C 21 300Х2700;300;2700;70;3061;38,57;9,53
117-8648;C 21 300Х2800;300;2800;70;3175;39,96;9,88
117-8649;C 21 300Х2900;300;2900;70;3288;41,36;10,24
117-8650;C 21 300Х3000;300;3000;70;3402;42,75;10,59
117-8651;C 21 400Х400;400;400;70;577;8,10;1,69
117-8652;C 21 400Х500;400;500;70;721;9,97;2,12
117-8653;C 21 400Х600;400;600;70;865;11,84;2,54
117-8654;C 21 400Х700;400;700;70;1010;13,71;2,96
117-8655;C 21 400Х800;400;800;70;1154;15,58;3,38
117-8656;C 21 400Х900;400;900;70;1298;17,51;3,81
117-8657;C 21 400Х1000;400;1000;70;1442;19,38;4,23
117-8658;C 21 400Х1100;400;1100;70;1586;21,25;4,65
117-8659;C 21 400Х1200;400;1200;70;1731;23,12;5,08
117-8660;C 21 400Х1300;400;1300;70;1875;24,99;5,50
117-8661;C 21 400Х1400;400;1400;70;2019;26,91;5,92
117-8662;C 21 400Х1500;400;1500;70;2163;28,78;6,35
117-8663;C 21 400Х1600;400;1600;70;2308;30,65;6,77
117-8664;C 21 400Х1700;400;1700;70;2452;32,57;7,19
117-8665;C 21 400Х1800;400;1800;70;2596;34,44;7,61
117-8666;C 21 400Х1900;400;1900;70;2740;36,37;8,04
117-8667;C 21 400Х2000;400;2000;70;2884;38,24;8,46
117-8668;C 21 400Х2100;400;2100;70;3029;40,11;8,88
117-8669;C 21 400Х2200;400;2200;70;3173;41,98;9,31
117-8670;C 21 400Х2300;400;2300;70;3317;43,85;9,73
117-8671;C 21 400Х2400;400;2400;70;3461;45,77;10,15
117-8672;C 21 400Х2500;400;2500;70;3605;47,64;10,58
117-8673;C 21 400Х2600;400;2600;70;3750;49,51;11,00
117-8674;C 21 400Х2700;400;2700;70;3894;51,38;11,42
117-8675;C 21 400Х2800;400;2800;70;4038;53,25;11,84
117-8676;C 21 400Х2900;400;2900;70;4182;55,12;12,27
117-8677;C 21 400Х3000;400;3000;70;4327;56,99;12,69
117-8678;C 21 500Х400;500;400;70;694;9,99;2,12
117-8679;C 21 500Х500;500;500;70;867;12,33;2,66
117-8680;C 21 500Х600;500;600;70;1041;14,68;3,19
117-8681;C 21 500Х700;500;700;70;1214;17,02;3,72
117-8682;C 21 500Х800;500;800;70;1388;19,37;4,25
117-8683;C 21 500Х900;500;900;70;1561;21,77;4,78
117-8684;C 21 500Х1000;500;1000;70;1735;24,11;5,31
117-8685;C 21 500Х1100;500;1100;70;1908;26,46;5,84
117-8686;C 21 500Х1200;500;1200;70;2082;28,81;6,37
117-8687;C 21 500Х1300;500;1300;70;2255;31,15;6,90
117-8688;C 21 500Х1400;500;1400;70;2429;33,55;7,43
117-8689;C 21 500Х1500;500;1500;70;2602;35,90;7,97
117-8690;C 21 500Х1600;500;1600;70;2775;38,24;8,50
117-8691;C 21 500Х1700;500;1700;70;2949;40,64;9,03
117-8692;C 21 500Х1800;500;1800;70;3122;42,98;9,56
117-8693;C 21 500Х1900;500;1900;70;3296;45,38;10,09
117-8694;C 21 500Х2000;500;2000;70;3469;47,73;10,62
117-8695;C 21 500Х2100;500;2100;70;3643;50,07;11,15
117-8696;C 21 500Х2200;500;2200;70;3816;52,42;11,68
117-8697;C 21 500Х2300;500;2300;70;3990;54,76;12,21
117-8698;C 21 500Х2400;500;2400;70;4163;57,16;12,74
117-8699;C 21 500Х2500;500;2500;70;4337;59,51;13,28
117-8700;C 21 500Х2600;500;2600;70;4510;61,85;13,81
117-8701;C 21 500Х2700;500;2700;70;4684;64,20;14,34
117-8702;C 21 500Х2800;500;2800;70;4857;66,54;14,87
117-8703;C 21 500Х2900;500;2900;70;5030;68,89;15,40
117-8704;C 21 500Х3000;500;3000;70;5204;71,24;15,93
117-8705;C 21 600Х400;600;400;70;807;11,87;2,40
117-8706;C 21 600Х500;600;500;70;1009;14,69;3,00
117-8707;C 21 600Х600;600;600;70;1211;17,51;3,60
117-8708;C 21 600Х700;600;700;70;1413;20,34;4,20
117-8709;C 21 600Х800;600;800;70;1615;23,16;4,80
117-8710;C 21 600Х900;600;900;70;1816;26,03;5,40
117-8711;C 21 600Х1000;600;1000;70;2018;28,85;6,00
117-8712;C 21 600Х1100;600;1100;70;2220;31,67;6,60
117-8713;C 21 600Х1200;600;1200;70;2422;34,49;7,20
117-8714;C 21 600Х1300;600;1300;70;2624;37,31;7,80
117-8715;C 21 600Х1400;600;1400;70;2826;40,19;8,40
117-8716;C 21 600Х1500;600;1500;70;3027;43,01;9,00
117-8717;C 21 600Х1600;600;1600;70;3229;45,83;9,60
117-8718;C 21 600Х1700;600;1700;70;3431;48,70;10,20
117-8719;C 21 600Х1800;600;1800;70;3633;51,52;10,80
117-8720;C 21 600Х1900;600;1900;70;3835;54,39;11,40
117-8721;C 21 600Х2000;600;2000;70;4036;57,22;12,00
117-8722;C 21 600Х2100;600;2100;70;4238;60,04;12,60
117-8723;C 21 600Х2200;600;2200;70;4440;62,86;13,20
117-8724;C 21 600Х2300;600;2300;70;4642;65,68;13,80
117-8725;C 21 600Х2400;600;2400;70;4844;68,55;14,40
117-8726;C 21 600Х2500;600;2500;70;5046;71,37;15,00
117-8727;C 21 600Х2600;600;2600;70;5247;74,19;15,60
117-8728;C 21 600Х2700;600;2700;70;5449;77,01;16,20
117-8729;C 21 600Х2800;600;2800;70;5651;79,84;16,80
117-8730;C 21 600Х2900;600;2900;70;5853;82,66;17,40
117-8731;C 21 600Х3000;600;3000;70;6055;85,48;18,00
117-8732;C 21 900Х400;900;400;70;1126;17,53;3,84
117-8733;C 21 900Х500;900;500;70;1408;21,78;4,80
117-8734;C 21 900Х600;900;600;70;1689;26,02;5,76
117-8735;C 21 900Х700;900;700;70;1971;30,27;6,72
117-8736;C 21 900Х800;900;800;70;2252;34,52;7,68
117-8737;C 21 900Х900;900;900;70;2534;38,81;8,64
117-8738;C 21 900Х1000;900;1000;70;2815;43,06;9,60
117-8739;C 21 900Х1100;900;1100;70;3097;47,31;10,56
117-8740;C 21 900Х1200;900;1200;70;3379;51,55;11,52
117-8741;C 21 900Х1300;900;1300;70;3660;55,80;12,48
117-8742;C 21 900Х1400;900;1400;70;3942;60,10;13,44
117-8743;C 21 900Х1500;900;1500;70;4223;64,35;14,40
117-8744;C 21 900Х1600;900;1600;70;4505;68,59;15,36
117-8745;C 21 900Х1700;900;1700;70;4786;72,89;16,32
117-8746;C 21 900Х1800;900;1800;70;5068;77,14;17,28
117-8747;C 21 900Х1900;900;1900;70;5349;81,44;18,24
117-8748;C 21 900Х2000;900;2000;70;5631;85,68;19,20
117-8749;C 21 900Х2100;900;2100;70;5912;89,93;20,16
117-8750;C 21 900Х2200;900;2200;70;6194;94,18;21,12
117-8751;C 21 900Х2300;900;2300;70;6476;98,42;22,08
117-8752;C 21 900Х2400;900;2400;70;6757;102,72;23,04
117-8753;C 21 900Х2500;900;2500;70;7039;106,97;24,00
117-8754;C 21 900Х2600;900;2600;70;7320;111,21;24,96
117-8755;C 21 900Х2700;900;2700;70;7602;115,46;25,92
117-8756;C 21 900Х2800;900;2800;70;7883;119,71;26,88
117-8757;C 21 900Х2900;900;2900;70;8165;123,95;27,84
117-8758;C 21 900Х3000;900;3000;70;8446;128,20;28,80
