Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
117-8759;C 22 300Х400;300;400;104;578;6,75;1,41
117-8760;C 22 300Х500;300;500;104;722;8,24;1,77
117-8761;C 22 300Х600;300;600;104;867;9,73;2,12
117-8762;C 22 300Х700;300;700;104;1011;11,22;2,47
117-8763;C 22 300Х800;300;800;104;1156;12,71;2,82
117-8764;C 22 300Х900;300;900;104;1300;14,28;3,18
117-8765;C 22 300Х1000;300;1000;104;1444;15,77;3,53
117-8766;C 22 300Х1100;300;1100;104;1589;17,26;3,88
117-8767;C 22 300Х1200;300;1200;104;1733;18,75;4,24
117-8768;C 22 300Х1300;300;1300;104;1878;20,25;4,59
117-8769;C 22 300Х1400;300;1400;104;2022;21,82;4,94
117-8770;C 22 300Х1500;300;1500;104;2167;23,31;5,30
117-8771;C 22 300Х1600;300;1600;104;2311;24,80;5,65
117-8772;C 22 300Х1700;300;1700;104;2456;26,34;6,00
117-8773;C 22 300Х1800;300;1800;104;2600;27,83;6,35
117-8774;C 22 300Х1900;300;1900;104;2744;29,41;6,71
117-8775;C 22 300Х2000;300;2000;104;2889;30,90;7,06
117-8776;C 22 300Х2100;300;2100;104;3033;32,39;7,41
117-8777;C 22 300Х2200;300;2200;104;3178;33,88;7,77
117-8778;C 22 300Х2300;300;2300;104;3322;35,37;8,12
117-8779;C 22 300Х2400;300;2400;104;3467;36,94;8,47
117-8780;C 22 300Х2500;300;2500;104;3611;38,43;8,83
117-8781;C 22 300Х2600;300;2600;104;3756;39,92;9,18
117-8782;C 22 300Х2700;300;2700;104;3900;41,41;9,53
117-8783;C 22 300Х2800;300;2800;104;4045;42,90;9,88
117-8784;C 22 300Х2900;300;2900;104;4189;44,40;10,24
117-8785;C 22 300Х3000;300;3000;104;4333;45,89;10,59
117-8786;C 22 400Х400;400;400;104;736;8,81;1,69
117-8787;C 22 400Х500;400;500;104;921;10,82;2,12
117-8788;C 22 400Х600;400;600;104;1105;12,83;2,54
117-8789;C 22 400Х700;400;700;104;1289;14,85;2,96
117-8790;C 22 400Х800;400;800;104;1473;16,86;3,38
117-8791;C 22 400Х900;400;900;104;1657;18,96;3,81
117-8792;C 22 400Х1000;400;1000;104;1841;20,97;4,23
117-8793;C 22 400Х1100;400;1100;104;2025;22,98;4,65
117-8794;C 22 400Х1200;400;1200;104;2209;25,00;5,08
117-8795;C 22 400Х1300;400;1300;104;2394;27,01;5,50
117-8796;C 22 400Х1400;400;1400;104;2578;29,11;5,92
117-8797;C 22 400Х1500;400;1500;104;2762;31,12;6,35
117-8798;C 22 400Х1600;400;1600;104;2946;33,13;6,77
117-8799;C 22 400Х1700;400;1700;104;3130;35,20;7,19
117-8800;C 22 400Х1800;400;1800;104;3314;37,21;7,61
117-8801;C 22 400Х1900;400;1900;104;3498;39,31;8,04
117-8802;C 22 400Х2000;400;2000;104;3682;41,32;8,46
117-8803;C 22 400Х2100;400;2100;104;3867;43,33;8,88
117-8804;C 22 400Х2200;400;2200;104;4051;45,35;9,31
117-8805;C 22 400Х2300;400;2300;104;4235;47,36;9,73
117-8806;C 22 400Х2400;400;2400;104;4419;49,46;10,15
117-8807;C 22 400Х2500;400;2500;104;4603;51,47;10,58
117-8808;C 22 400Х2600;400;2600;104;4787;53,49;11,00
117-8809;C 22 400Х2700;400;2700;104;4971;55,50;11,42
117-8810;C 22 400Х2800;400;2800;104;5155;57,51;11,84
117-8811;C 22 400Х2900;400;2900;104;5340;59,53;12,27
117-8812;C 22 400Х3000;400;3000;104;5524;61,54;12,69
117-8813;C 22 500Х400;500;400;104;886;10,87;2,12
117-8814;C 22 500Х500;500;500;104;1107;13,40;2,66
117-8815;C 22 500Х600;500;600;104;1329;15,94;3,19
117-8816;C 22 500Х700;500;700;104;1550;18,48;3,72
117-8817;C 22 500Х800;500;800;104;1772;21,01;4,25
117-8818;C 22 500Х900;500;900;104;1993;23,63;4,78
117-8819;C 22 500Х1000;500;1000;104;2215;26,17;5,31
117-8820;C 22 500Х1100;500;1100;104;2436;28,70;5,84
117-8821;C 22 500Х1200;500;1200;104;2658;31,24;6,37
117-8822;C 22 500Х1300;500;1300;104;2879;33,78;6,90
117-8823;C 22 500Х1400;500;1400;104;3101;36,40;7,43
117-8824;C 22 500Х1500;500;1500;104;3322;38,93;7,97
117-8825;C 22 500Х1600;500;1600;104;3544;41,47;8,50
117-8826;C 22 500Х1700;500;1700;104;3765;44,05;9,03
117-8827;C 22 500Х1800;500;1800;104;3987;46,59;9,56
117-8828;C 22 500Х1900;500;1900;104;4208;49,21;10,09
117-8829;C 22 500Х2000;500;2000;104;4430;51,75;10,62
117-8830;C 22 500Х2100;500;2100;104;4651;54,28;11,15
117-8831;C 22 500Х2200;500;2200;104;4873;56,82;11,68
117-8832;C 22 500Х2300;500;2300;104;5094;59,36;12,21
117-8833;C 22 500Х2400;500;2400;104;5316;61,97;12,74
117-8834;C 22 500Х2500;500;2500;104;5537;64,51;13,28
117-8835;C 22 500Х2600;500;2600;104;5759;67,05;13,81
117-8836;C 22 500Х2700;500;2700;104;5980;69,58;14,34
117-8837;C 22 500Х2800;500;2800;104;6202;72,12;14,87
117-8838;C 22 500Х2900;500;2900;104;6423;74,66;15,40
117-8839;C 22 500Х3000;500;3000;104;6645;77,19;15,93
117-8840;C 22 600Х400;600;400;104;1027;12,93;2,40
