Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
117-8841;C 22 600Х500;600;500;104;1284;15,99;3,00
117-8842;C 22 600Х600;600;600;104;1541;19,05;3,60
117-8843;C 22 600Х700;600;700;104;1798;22,11;4,20
117-8844;C 22 600Х800;600;800;104;2055;25,16;4,80
117-8845;C 22 600Х900;600;900;104;2311;28,31;5,40
117-8846;C 22 600Х1000;600;1000;104;2568;31,37;6,00
117-8847;C 22 600Х1100;600;1100;104;2825;34,42;6,60
117-8848;C 22 600Х1200;600;1200;104;3082;37,48;7,20
117-8849;C 22 600Х1300;600;1300;104;3339;40,54;7,80
117-8850;C 22 600Х1400;600;1400;104;3596;43,68;8,40
117-8851;C 22 600Х1500;600;1500;104;3852;46,74;9,00
117-8852;C 22 600Х1600;600;1600;104;4109;49,80;9,60
117-8853;C 22 600Х1700;600;1700;104;4366;52,91;10,20
117-8854;C 22 600Х1800;600;1800;104;4623;55,97;10,80
117-8855;C 22 600Х1900;600;1900;104;4880;59,11;11,40
117-8856;C 22 600Х2000;600;2000;104;5137;62,17;12,00
117-8857;C 22 600Х2100;600;2100;104;5393;65,23;12,60
117-8858;C 22 600Х2200;600;2200;104;5650;68,29;13,20
117-8859;C 22 600Х2300;600;2300;104;5907;71,35;13,80
117-8860;C 22 600Х2400;600;2400;104;6164;74,49;14,40
117-8861;C 22 600Х2500;600;2500;104;6421;77,55;15,00
117-8862;C 22 600Х2600;600;2600;104;6678;80,61;15,60
117-8863;C 22 600Х2700;600;2700;104;6934;83,67;16,20
117-8864;C 22 600Х2800;600;2800;104;7191;86,73;16,80
117-8865;C 22 600Х2900;600;2900;104;7448;89,79;17,40
117-8866;C 22 600Х3000;600;3000;104;7705;92,85;18,00
117-8867;C 22 900Х400;900;400;104;1428;19,11;3,84
117-8868;C 22 900Х500;900;500;104;1785;23,74;4,80
117-8869;C 22 900Х600;900;600;104;2142;28,36;5,76
117-8870;C 22 900Х700;900;700;104;2500;32,99;6,72
117-8871;C 22 900Х800;900;800;104;2857;37,62;7,68
117-8872;C 22 900Х900;900;900;104;3214;42,33;8,64
117-8873;C 22 900Х1000;900;1000;104;3571;46,96;9,60
117-8874;C 22 900Х1100;900;1100;104;3928;51,58;10,56
117-8875;C 22 900Х1200;900;1200;104;4285;56,21;11,52
117-8876;C 22 900Х1300;900;1300;104;4642;60,84;12,48
117-8877;C 22 900Х1400;900;1400;104;4999;65,55;13,44
117-8878;C 22 900Х1500;900;1500;104;5356;70,18;14,40
117-8879;C 22 900Х1600;900;1600;104;5713;74,80;15,36
117-8880;C 22 900Х1700;900;1700;104;6070;79,48;16,32
117-8881;C 22 900Х1800;900;1800;104;6427;84,11;17,28
117-8882;C 22 900Х1900;900;1900;104;6784;88,82;18,24
117-8883;C 22 900Х2000;900;2000;104;7142;93,45;19,20
117-8884;C 22 900Х2100;900;2100;104;7499;98,08;20,16
117-8885;C 22 900Х2200;900;2200;104;7856;102,70;21,12
117-8886;C 22 900Х2300;900;2300;104;8213;107,33;22,08
117-8887;C 22 900Х2400;900;2400;104;8570;112,04;23,04
117-8888;C 22 900Х2500;900;2500;104;8927;116,67;24,00
117-8889;C 22 900Х2600;900;2600;104;9284;121,30;24,96
117-8890;C 22 900Х2700;900;2700;104;9641;125,92;25,92
117-8891;C 22 900Х2800;900;2800;104;9998;130,55;26,88
117-8892;C 22 900Х2900;900;2900;104;10355;135,18;27,84
117-8893;C 22 900Х3000;900;3000;104;10712;139,81;28,80
